mjd airmass site
57009.914498 1.0745809 cpt
57009.9181685 1.0779833 cpt
57009.9218305 1.0819041 cpt
57009.9478176 1.125872 cpt
57009.9293586 1.0916574 cpt
57009.9331733 1.0974937 cpt
57009.9404904 1.1104683 cpt
57009.9441688 1.1178855 cpt
57009.9035311 1.0675016 cpt
57009.9255066 1.0863808 cpt
57009.8998653 1.0661465 cpt
57009.8925455 1.0649403 cpt
57009.8518621 1.0951296 cpt
57009.8555291 1.0897338 cpt
57009.8628729 1.0805919 cpt
57010.0067491 1.3657055 cpt
57009.866725 1.076662 cpt
57010.0397234 1.6488597 cpt
57009.8962156 1.0652961 cpt
57010.0433919 1.691799 cpt
57009.8592063 1.0848795 cpt
57009.8888962 1.0650813 cpt
57009.999417 1.3214225 cpt
57010.0104078 1.3898723 cpt
57010.0287368 1.5360797 cpt
57009.9734226 1.2013222 cpt
57010.0140697 1.415587 cpt
57009.9844298 1.2459409 cpt
57010.025082 1.5031767 cpt
57010.0177316 1.4429165 cpt
57010.003094 1.3429682 cpt
57010.0360698 1.6088811 cpt
57009.9697524 1.1882345 cpt
57010.0470542 1.737696 cpt
57010.0324138 1.5713958 cpt
57009.9957692 1.3012728 cpt
57009.9770737 1.2152144 cpt
57010.0582444 1.9001528 cpt
57009.9551266 1.1438136 cpt
57009.9514754 1.1345186 cpt
57009.9624434 1.1645363 cpt
57009.9587963 1.1538328 cpt
57010.0213897 1.4719761 cpt
57009.9661016 1.1760134 cpt
57009.9919545 1.2814772 cpt
57009.980727 1.2300349 cpt
57009.9880843 1.2626666 cpt
57010.0729109 2.1795807 cpt
57009.8741931 1.0706788 cpt
57009.877849 1.0685277 cpt
57010.0507081 1.786867 cpt
57010.0619187 1.9620693 cpt
57010.0543665 1.8397511 cpt
57010.0692566 2.1012598 cpt
57010.0655835 2.0288016 cpt
57009.8852221 1.0657232 cpt
57009.8705469 1.0733346 cpt
57009.8815208 1.0668769 cpt
56972.2006263 1.0962496 lsc
56972.1966023 1.1043757 lsc
56972.1883681 1.1233849 lsc
56972.1843421 1.1339212 lsc
56972.1925445 1.1133386 lsc
56972.1760583 1.1582904 lsc
56972.1720396 1.171517 lsc
56972.1679837 1.1858519 lsc
56972.1802764 1.1454115 lsc
56993.2826091 1.2391375 lsc
56993.2935901 1.2941093 lsc
56993.2715861 1.1932306 lsc
56993.3045593 1.3599812 lsc
57008.0353569 1.3560009 lsc
57008.0394209 1.3304674 lsc
57008.0434403 1.3068306 lsc
57008.0474871 1.2845671 lsc
57008.1489087 1.050986 lsc
57008.1122926 1.0792292 lsc
57008.1165182 1.0732824 lsc
57008.1207029 1.0681114 lsc
57008.1247694 1.0637628 lsc
57008.1368453 1.0546269 lsc
57008.1328164 1.0570545 lsc
57008.1408689 1.0528091 lsc
57008.1448883 1.0515981 lsc
57008.1082457 1.085611 lsc
57008.128795 1.0600965 lsc
57008.1042234 1.0926781 lsc
57008.0881272 1.1283786 lsc
57008.096172 1.108989 lsc
57008.1002092 1.1004416 lsc
57008.0515023 1.2638963 lsc
57008.0555272 1.2445177 lsc
57008.0639228 1.208052 lsc
57008.0679823 1.1921935 lsc
57008.0597119 1.2257105 lsc
57008.0760385 1.1638443 lsc
57008.08006 1.1511529 lsc
57008.0841032 1.1392907 lsc
57008.0921436 1.1182907 lsc
57008.0720166 1.1775063 lsc
57008.2258691 1.1634687 lsc
57008.2137897 1.1281004 lsc
57008.2178242 1.1390237 lsc
57008.2218525 1.1508015 lsc
57008.2298905 1.1770741 lsc
57008.2097744 1.1180241 lsc
57008.2379349 1.2073929 lsc
57008.2421599 1.2250304 lsc
57008.2463465 1.2438074 lsc
57008.2504054 1.2633183 lsc
57008.233917 1.1917117 lsc
57008.2057575 1.1087729 lsc
57008.1936849 1.0854602 lsc
57008.1977089 1.0925006 lsc
57008.1529257 1.0509717 lsc
57008.1609917 1.0527475 lsc
57008.1650153 1.0545397 lsc
57008.1690417 1.0569404 lsc
57008.1730616 1.0599527 lsc
57008.1569684 1.0515601 lsc
57008.1813523 1.0681467 lsc
57008.1855861 1.0733836 lsc
57008.1896615 1.0791195 lsc
57008.2017303 1.1002652 lsc
57008.1771387 1.063647 lsc
57008.3029711 1.6838004 lsc
57008.3110612 1.7915061 lsc
57008.319118 1.9175957 lsc
57008.262493 1.3297898 lsc
57008.2584688 1.3061659 lsc
57008.2544334 1.2839995 lsc
57008.2947218 1.589791 lsc
57008.2826434 1.4751601 lsc
57008.2906948 1.548815 lsc
57008.2745757 1.4109764 lsc
57008.2786007 1.4419005 lsc
57008.2866715 1.5107131 lsc
57008.2705373 1.3820027 lsc
57008.3231382 1.9889777 lsc
57008.3150944 1.8520371 lsc
57008.2665195 1.3550421 lsc
57008.2987498 1.6338942 lsc
57008.3070413 1.7358832 lsc
56972.1168416 1.4823234 lsc
56972.1045606 1.6008644 lsc
56972.1087301 1.5576779 lsc
56972.112812 1.518424 lsc
56972.100525 1.645834 lsc
56972.0922453 1.7498053 lsc
56972.0841149 1.8696062 lsc
56972.0882081 1.8068372 lsc
56972.0964601 1.6948455 lsc
56993.2341927 1.0912302 lsc
56993.2122035 1.0618536 lsc
56993.2232163 1.0740862 lsc
56993.2451697 1.1137186 lsc
57009.0308932 1.3674515 lsc
57009.0350146 1.3408062 lsc
57009.0390511 1.3164013 lsc
57009.043069 1.2936768 lsc
57009.0471141 1.272283 lsc
57009.1081191 1.0814255 lsc
57009.1123301 1.075247 lsc
57009.1164081 1.0699598 lsc
57009.1204258 1.0654032 lsc
57009.12446 1.0614826 lsc
57009.1445992 1.0511545 lsc
57009.1325032 1.0555218 lsc
57009.1365246 1.0534651 lsc
57009.1405567 1.0520088 lsc
57009.1039548 1.0882796 lsc
57009.1284895 1.0581872 lsc
